split,direction,hold_window_h,n_thresh,price_gate,n_signals,n_wins,hit_rate,median_hold_hours,median_entry_price,median_signal_vol_usd
test,NO,1.0,5,0.70,2721,754,0.2771,0.0,0.5,1.71
train,YES,1.0,5,0.80,64,33,0.5156,0.0,0.5,1300.72
test,YES,1.0,5,0.80,2648,699,0.264,0.0,0.5,1.84
train,NO,1.0,5,0.80,76,46,0.6053,0.0,0.5,5441.1
test,NO,1.0,5,0.80,2721,754,0.2771,0.0,0.5,1.71
train,YES,1.0,5,0.85,64,33,0.5156,0.0,0.5,1300.72
test,YES,1.0,5,0.85,2650,701,0.2645,0.0,0.5,1.84
train,NO,1.0,5,0.85,76,46,0.6053,0.0,0.5,5441.1
test,NO,1.0,5,0.85,2721,754,0.2771,0.0,0.5,1.71
train,YES,1.0,5,none,64,33,0.5156,0.0,0.5,1300.72
test,YES,1.0,5,none,2655,704,0.2652,0.0,0.5,1.85
train,NO,1.0,5,none,76,46,0.6053,0.0,0.5,5441.1
test,NO,1.0,5,none,2721,754,0.2771,0.0,0.5,1.71
train,YES,1.0,8,0.70,24,9,0.375,0.0,0.465,90.19
test,YES,1.0,8,0.70,901,350,0.3885,0.0,0.5,2.66
train,NO,1.0,8,0.70,38,29,0.7632,0.0,0.5,22683.5
test,NO,1.0,8,0.70,725,367,0.5062,0.0,0.5,141.38
train,YES,1.0,8,0.80,24,9,0.375,0.0,0.465,90.19
test,YES,1.0,8,0.80,902,351,0.3891,0.0,0.5,2.66
train,NO,1.0,8,0.80,38,29,0.7632,0.0,0.5,22683.5
test,NO,1.0,8,0.80,725,367,0.5062,0.0,0.5,141.38
train,YES,1.0,8,0.85,24,9,0.375,0.0,0.465,90.19
test,YES,1.0,8,0.85,903,352,0.3898,0.0,0.5,2.66
train,NO,1.0,8,0.85,38,29,0.7632,0.0,0.5,22683.5
test,NO,1.0,8,0.85,725,367,0.5062,0.0,0.5,141.38
train,YES,1.0,8,none,24,9,0.375,0.0,0.465,90.19
test,YES,1.0,8,none,907,354,0.3903,0.0,0.5,2.66
train,NO,1.0,8,none,38,29,0.7632,0.0,0.5,22683.5
test,NO,1.0,8,none,725,367,0.5062,0.0,0.5,141.38
train,YES,2.0,2,0.70,1931,1166,0.6038,1.0,0.5,273.47
test,YES,2.0,2,0.70,23202,10628,0.4581,1.0,0.5,2.59
train,NO,2.0,2,0.70,1976,1367,0.6918,1.0,0.5,539.19
test,NO,2.0,2,0.70,21500,11052,0.514,1.0,0.5,18.48
train,YES,2.0,2,0.80,1949,1178,0.6044,1.0,0.5,273.07
test,YES,2.0,2,0.80,23264,10679,0.459,1.0,0.5,2.61
train,NO,2.0,2,0.80,1976,1367,0.6918,1.0,0.5,539.19
test,NO,2.0,2,0.80,21500,11052,0.514,1.0,0.5,18.48
train,YES,2.0,2,0.85,1953,1182,0.6052,1.0,0.5,273.07
test,YES,2.0,2,0.85,23282,10697,0.4595,1.0,0.5,2.61
train,NO,2.0,2,0.85,1976,1367,0.6918,1.0,0.5,539.19
test,NO,2.0,2,0.85,21500,11052,0.514,1.0,0.5,18.48
train,YES,2.0,2,none,1968,1194,0.6067,1.0,0.5,266.19
test,YES,2.0,2,none,23329,10738,0.4603,1.0,0.5,2.62
train,NO,2.0,2,none,1976,1367,0.6918,1.0,0.5,539.19
test,NO,2.0,2,none,21500,11052,0.514,1.0,0.5,18.48
train,YES,2.0,3,0.70,842,504,0.5986,1.0,0.5,780.47
test,YES,2.0,3,0.70,15146,5987,0.3953,1.0,0.5,2.21
train,NO,2.0,3,0.70,836,536,0.6411,1.0,0.5,1203.0
test,NO,2.0,3,0.70,13824,5811,0.4204,1.0,0.5,2.5
train,YES,2.0,3,0.80,850,509,0.5988,1.0,0.5,780.47
test,YES,2.0,3,0.80,15181,6016,0.3963,1.0,0.5,2.22
train,NO,2.0,3,0.80,836,536,0.6411,1.0,0.5,1203.0
test,NO,2.0,3,0.80,13824,5811,0.4204,1.0,0.5,2.5
train,YES,2.0,3,0.85,852,511,0.5998,1.0,0.5,792.43
test,YES,2.0,3,0.85,15191,6026,0.3967,1.0,0.5,2.22
train,NO,2.0,3,0.85,836,536,0.6411,1.0,0.5,1203.0
test,NO,2.0,3,0.85,13824,5811,0.4204,1.0,0.5,2.5
train,YES,2.0,3,none,854,513,0.6007,1.0,0.5,780.47
test,YES,2.0,3,none,15219,6051,0.3976,1.0,0.5,2.23
train,NO,2.0,3,none,836,536,0.6411,1.0,0.5,1203.0
test,NO,2.0,3,none,13824,5811,0.4204,1.0,0.5,2.5
train,YES,2.0,5,0.70,238,151,0.6345,1.0,0.5,3726.14
test,YES,2.0,5,0.70,9167,2691,0.2936,1.0,0.5,1.95
train,NO,2.0,5,0.70,263,147,0.5589,1.0,0.5,2196.51
test,NO,2.0,5,0.70,8726,2502,0.2867,1.0,0.5,1.73
train,YES,2.0,5,0.80,242,152,0.6281,1.0,0.5,3617.67
test,YES,2.0,5,0.80,9185,2706,0.2946,1.0,0.5,1.95
train,NO,2.0,5,0.80,263,147,0.5589,1.0,0.5,2196.51
test,NO,2.0,5,0.80,8726,2502,0.2867,1.0,0.5,1.73
train,YES,2.0,5,0.85,244,154,0.6311,1.0,0.5,3617.67
test,YES,2.0,5,0.85,9191,2712,0.2951,1.0,0.5,1.95
train,NO,2.0,5,0.85,263,147,0.5589,1.0,0.5,2196.51
test,NO,2.0,5,0.85,8726,2502,0.2867,1.0,0.5,1.73
train,YES,2.0,5,none,244,154,0.6311,1.0,0.5,3617.67
test,YES,2.0,5,none,9210,2728,0.2962,1.0,0.5,1.96
train,NO,2.0,5,none,263,147,0.5589,1.0,0.5,2196.51
test,NO,2.0,5,none,8726,2502,0.2867,1.0,0.5,1.73
train,YES,2.0,8,0.70,88,48,0.5455,1.0,0.5,3752.73
test,YES,2.0,8,0.70,3605,1256,0.3484,1.0,0.5,2.51
train,NO,2.0,8,0.70,102,63,0.6176,0.0,0.5,7422.82
test,NO,2.0,8,0.70,2742,1180,0.4303,1.0,0.5,8.73
train,YES,2.0,8,0.80,89,48,0.5393,1.0,0.5,2972.9
test,YES,2.0,8,0.80,3612,1261,0.3491,1.0,0.5,2.52
train,NO,2.0,8,0.80,102,63,0.6176,0.0,0.5,7422.82
test,NO,2.0,8,0.80,2742,1180,0.4303,1.0,0.5,8.73
train,YES,2.0,8,0.85,90,49,0.5444,1.0,0.5,3752.73
test,YES,2.0,8,0.85,3618,1267,0.3502,1.0,0.5,2.52
train,NO,2.0,8,0.85,102,63,0.6176,0.0,0.5,7422.82
test,NO,2.0,8,0.85,2742,1180,0.4303,1.0,0.5,8.73
train,YES,2.0,8,none,90,49,0.5444,1.0,0.5,3752.73
test,YES,2.0,8,none,3629,1276,0.3516,1.0,0.5,2.52
train,NO,2.0,8,none,102,63,0.6176,0.0,0.5,7422.82
test,NO,2.0,8,none,2742,1180,0.4303,1.0,0.5,8.73
train,YES,4.0,2,0.70,13351,5388,0.4036,2.0,0.5,240.84
test,YES,4.0,2,0.70,121754,33906,0.2785,2.0,0.5,8.29
train,NO,4.0,2,0.70,12365,6606,0.5342,2.0,0.5,582.59
test,NO,4.0,2,0.70,108408,40459,0.3732,2.0,0.5,42.59
train,YES,4.0,2,0.80,13486,5491,0.4072,2.0,0.5,246.95
test,YES,4.0,2,0.80,122539,34545,0.2819,2.0,0.5,8.63
train,NO,4.0,2,0.80,12365,6606,0.5342,2.0,0.5,582.59
test,NO,4.0,2,0.80,108408,40459,0.3732,2.0,0.5,42.59
train,YES,4.0,2,0.85,13520,5520,0.4083,2.0,0.5,249.01
test,YES,4.0,2,0.85,122686,34649,0.2824,2.0,0.5,8.71
train,NO,4.0,2,0.85,12365,6606,0.5342,2.0,0.5,582.59
test,NO,4.0,2,0.85,108408,40459,0.3732,2.0,0.5,42.59
train,YES,4.0,2,none,13569,5564,0.4101,2.0,0.5,251.06
test,YES,4.0,2,none,122937,34827,0.2833,2.0,0.5,8.83
train,NO,4.0,2,none,12365,6606,0.5342,2.0,0.5,582.59
test,NO,4.0,2,none,108408,40459,0.3732,2.0,0.5,42.59
train,YES,4.0,3,0.70,10475,4308,0.4113,2.0,0.5,461.99
test,YES,4.0,3,0.70,101569,26796,0.2638,2.0,0.5,11.14
train,NO,4.0,3,0.70,9444,4661,0.4935,2.0,0.5,879.38
test,NO,4.0,3,0.70,88268,29475,0.3339,2.0,0.5,53.67
train,YES,4.0,3,0.80,10590,4397,0.4152,2.0,0.5,468.23
test,YES,4.0,3,0.80,102191,27290,0.267,2.0,0.5,11.54
train,NO,4.0,3,0.80,9444,4661,0.4935,2.0,0.5,879.38
test,NO,4.0,3,0.80,88268,29475,0.3339,2.0,0.5,53.67
train,YES,4.0,3,0.85,10615,4420,0.4164,2.0,0.5,474.05
test,YES,4.0,3,0.85,102321,27383,0.2676,2.0,0.5,11.63
train,NO,4.0,3,0.85,9444,4661,0.4935,2.0,0.5,879.38
test,NO,4.0,3,0.85,88268,29475,0.3339,2.0,0.5,53.67
train,YES,4.0,3,none,10652,4452,0.4179,2.0,0.5,478.84
test,YES,4.0,3,none,102524,27534,0.2686,2.0,0.5,11.77
train,NO,4.0,3,none,9444,4661,0.4935,2.0,0.5,879.38
test,NO,4.0,3,none,88268,29475,0.3339,2.0,0.5,53.67
train,YES,4.0,5,0.70,6900,2942,0.4264,2.0,0.5,1116.05
test,YES,4.0,5,0.70,74435,18820,0.2528,2.0,0.5,19.79
train,NO,4.0,5,0.70,6293,2861,0.4546,2.0,0.5,1410.54
test,NO,4.0,5,0.70,65393,18611,0.2846,2.0,0.5,59.88
train,YES,4.0,5,0.80,6985,3007,0.4305,2.0,0.5,1145.08
test,YES,4.0,5,0.80,74879,19167,0.256,2.0,0.5,20.78
train,NO,4.0,5,0.80,6293,2861,0.4546,2.0,0.5,1410.54
test,NO,4.0,5,0.80,65393,18611,0.2846,2.0,0.5,59.88
train,YES,4.0,5,0.85,7007,3028,0.4321,2.0,0.5,1157.95
test,YES,4.0,5,0.85,74976,19236,0.2566,2.0,0.5,20.98
train,NO,4.0,5,0.85,6293,2861,0.4546,2.0,0.5,1410.54
test,NO,4.0,5,0.85,65393,18611,0.2846,2.0,0.5,59.88
train,YES,4.0,5,none,7029,3046,0.4333,2.0,0.5,1163.09
test,YES,4.0,5,none,75108,19337,0.2575,2.0,0.5,21.25
train,NO,4.0,5,none,6293,2861,0.4546,2.0,0.5,1410.54
test,NO,4.0,5,none,65393,18611,0.2846,2.0,0.5,59.88
train,YES,4.0,8,0.70,4299,1859,0.4324,2.0,0.5,2259.96
test,YES,4.0,8,0.70,49347,12431,0.2519,2.0,0.5,45.1
train,NO,4.0,8,0.70,3989,1722,0.4317,2.0,0.5,2339.76
test,NO,4.0,8,0.70,42328,11141,0.2632,2.0,0.5,111.35
train,YES,4.0,8,0.80,4357,1900,0.4361,2.0,0.5,2302.64
test,YES,4.0,8,0.80,49633,12656,0.255,2.0,0.5,47.14
train,NO,4.0,8,0.80,3989,1722,0.4317,2.0,0.5,2339.76
test,NO,4.0,8,0.80,42328,11141,0.2632,2.0,0.5,111.35
train,YES,4.0,8,0.85,4373,1916,0.4381,2.0,0.5,2316.98
test,YES,4.0,8,0.85,49693,12699,0.2555,2.0,0.5,47.6
train,NO,4.0,8,0.85,3989,1722,0.4317,2.0,0.5,2339.76
test,NO,4.0,8,0.85,42328,11141,0.2632,2.0,0.5,111.35
train,YES,4.0,8,none,4383,1925,0.4392,2.0,0.5,2320.32
test,YES,4.0,8,none,49770,12761,0.2564,2.0,0.5,48.13
train,NO,4.0,8,none,3989,1722,0.4317,2.0,0.5,2339.76
test,NO,4.0,8,none,42328,11141,0.2632,2.0,0.5,111.35
